scoring,market,purchasing_date,review_title,review_content,item
100점,롯데하이마트,2024.09.21.,"
카메라 컨트롤은 일단 굳이?아이
",카메라 컨트롤은 일단 굳이?아이폰은 어차피 아이폰이라서 쓰는거라..평가 할게 없고디자인이 일단 너무 이쁜데 하이마트에서 구매하면애플케어가 반값이라 좋았어요쌩폰 조합으로 지문 필름 후면 측면 붙이고 액정보호필름 붙여서 쌩폰으로 쓰는데무게도 가볍고 그립감도 좋고 매우 만족합니다!타사에서 살땐 박스가 흠 있을때가 있었는데포장도 확실하게 와서 매우 마음에 들었습니다.,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
80점,롯데하이마트,2024.09.22.,"
카메라 버튼을 대체 왜 만들었는
",카메라 버튼을 대체 왜 만들었는지 모를 일이지만 13에서 16으로 바꾸니 가볍기도 하고 성능도 좋아진게 느껴지네요 다만 외관 카메라 주위에 검은색 먼지라고 해야하나 뭐가 묻어있는데 지워지거나 빠지지않아요 쓰는데 문제되진 않아서 교환환불도 귀찮으니 그냥 쓰렵니다,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
100점,11번가,2024.09.27.,"
최고예요
",4년동안 아이폰12 블랙을 사용했는데 배터리도 빨리 줄어들고 속도도 느려져서 아이폰16 2차예약 자급제로 구매했습니다. 1차예약 물량이랑 같은날 배송되어 빠르게 받아볼수 있었고 색상도 틸색상 너무 이쁘고 깔쌈해서 만족합니다.,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.11.,"
최고예요
","슈팅배송을 처음 접했습니다.저는 ‘면’단위 시골에 사는데, 로켓배송도 직접 배송이 안됩니다. 그런데,슈팅배송... 감동했습니다.오후 11시 넘어 주문, 다음날 바로 받아보네요..포장은 안전하고 튼튼하게 빵빵한 포장재로..선물용으로 구매했는데, 너무 마음에 듭니다.그리고 4만 원의 포인트까지 주니 기본적으로카드로 구매한다고 했을 때 다른 곳보다 저렴합니다.게다가 22개월 무이자할부까지 가능한 11번가..11번갓.. 애플 갓..","APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
80점,11번가,2024.11.06.,"
좋아요
",아이폰 성능이야 말해 뭐해요!! 완전 좋음여기저기 알아봐도 자급제는 가격이 똑같더라고요.그래서 이왕이면 무이자 할부를 많이 해주는곳을 봤더니 역시 11번가가 제일 좋음.,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.28.,"
최고예요
",지금까지 아이폰만 사용하고 있어요~ 디자인 성능 안전성 모두 만족하고 있습니다 이건 가벼워 휴대하기가 용이하네요~,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
100점,11번가,2024.09.27.,"
최고예요
",새로산 아이폰으로 찍은 영상이라 박스만 찍었습니다 3차 예약이라 10월에나 받을 수 있을 줄 알았는데 빨리 와서 넘 좋아요 하루 써봤는데 여러 기능 추가된 것보다도 C핀으로 바뀐 게 제일 만족스러워요,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
100점,롯데하이마트,2024.09.20.,"
하이마트에서 구매한 덕에 애플케
",하이마트에서 구매한 덕에 애플케어 플러스를 꽤 저렴하게 잘 샀습니다. 이번에는 케이스 필름 붙이지 않고 걱정없이 쌩폰으로 쓰려고 합니다. 이쁜 색상을 가리지 않아도 되서 매우 만족합니다.,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.12.,"
최고예요
",카메라버튼 유용하게 잘 쓸것같아요 ! 디자인도 이쁘규 카메라 세로로 붙은게 좋아요 ㅜ,"APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
100점,롯데하이마트,2024.09.23.,"
최고스펙, 최대화면, 최대배터리
","최고스펙, 최대화면, 최대배터리에 꽂혀서 살던 제게 경량이라는 새로운 패러다임을 제시한 폰입니다. 가벼운게 최고네요. 체감이 확실하고 만족도가 큽니다.","APPLE 아이폰16 128GB, 자급제 (자급제 공기계)"
