,scoring,market,purchasing_date,review_title,review_content
0,100점,이마트인터넷쇼핑몰,2024.11.09.,"
갤럭시S24FE 출시를 기다렸고 마침 쓱DAY 할인이 
","갤럭시S24FE 출시를 기다렸고 마침 쓱DAY 할인이 떠서 큰 고민 없이 바로 주문했습니다.

포장은 두툼한 에어 쿠션으로 튼튼하게 포장되어 도착했는데 그 모습을 보는 것 만으로도 안심이 되었습니다.

평소 핸드폰 화면이 큰 것을 선호하는데, 이 모델 화면이 커서 만족합니다. 

이 폰이 좀 무겁다는 선행 리뷰가 있었으나 도착 후 이틀 정도 케이스 없이 사용할 때는 그 무거움을 크게 느끼지 못했습니다만, 비정품 케이스 장착 후 손에 들고 사용할 때는 그 무게가 실감되었습니다. 케이스 고르실때 이 점을 고려해 가볍거나 슬림한 케이스 고르시길 추천합니다. 
정품 실리콘 케이스는 아직 사용해 보지 않아서 케이스 장착시 무게 차이를 말씀드리지 못하겠습니다. 
삼성닷컴에서 구매혜택으로 제공하는 정품케이스 할인 쿠폰은 핸드폰 활성화 후 3일 지나야 다운로드 받을 수 있다고 해서 지금 기다리는 중입니다. 정품 케이스 구입 고려하신다면 이 점도 참고하세요.

늘어난 무게만큼 배터리 용량이 커져서 사용 시간이 더 오래 지속되어 매우 만족합니다.

전반적으로 이번 구매와 갤럭시S24FE 제품에 매우 만족합니다.

#삼성전자이벤트"
1,100점,SSG.COM,2024.11.09.,"
갤럭시S24FE 출시를 기다렸고 마침 쓱DAY 할인이 
","갤럭시S24FE 출시를 기다렸고 마침 쓱DAY 할인이 떠서 큰 고민 없이 바로 주문했습니다.

포장은 두툼한 에어 쿠션으로 튼튼하게 포장되어 도착했는데 그 모습을 보는 것 만으로도 안심이 되었습니다.

평소 핸드폰 화면이 큰 것을 선호하는데, 이 모델 화면이 커서 만족합니다. 

이 폰이 좀 무겁다는 선행 리뷰가 있었으나 도착 후 이틀 정도 케이스 없이 사용할 때는 그 무거움을 크게 느끼지 못했습니다만, 비정품 케이스 장착 후 손에 들고 사용할 때는 그 무게가 실감되었습니다. 케이스 고르실때 이 점을 고려해 가볍거나 슬림한 케이스 고르시길 추천합니다. 
정품 실리콘 케이스는 아직 사용해 보지 않아서 케이스 장착시 무게 차이를 말씀드리지 못하겠습니다. 
삼성닷컴에서 구매혜택으로 제공하는 정품케이스 할인 쿠폰은 핸드폰 활성화 후 3일 지나야 다운로드 받을 수 있다고 해서 지금 기다리는 중입니다. 정품 케이스 구입 고려하신다면 이 점도 참고하세요.

늘어난 무게만큼 배터리 용량이 커져서 사용 시간이 더 오래 지속되어 매우 만족합니다.

전반적으로 이번 구매와 갤럭시S24FE 제품에 매우 만족합니다.

#삼성전자이벤트"
2,100점,이마트인터넷쇼핑몰,2024.11.07.,"
그제 5년 이상 사용하던 S10+에서 교체했습니다. 퀀
","그제 5년 이상 사용하던 S10+에서 교체했습니다. 퀀텀5(A55)와 고민하던 중에 1만원 이하 알뜰요금제로 계속 사용할 예정이라 자급제폰인 S24FE로 선택했습니다. 기존 S10+와 비교하니 많이 크고 약간 무거운 것 같았습니다. 야구장에서 가끔 원거리 사진 찍는데 S10+에서는 10배 확대까지 가능했던  카메라가 최대 30배까지 확대가 가능해서 좋은 것 같습니다.  내년에는 원거리 촬영도 기분좋게 할 수 있을 것 같습니다. 가격은 작년보다 많이 올랐지만, 쓱데이 행사로 쿠폰할인에 카드사 할인까지해서 싸게 잘 구매한 것 같습니다. "
3,100점,SSG.COM,2024.11.07.,"
그제 5년 이상 사용하던 S10+에서 교체했습니다. 퀀
","그제 5년 이상 사용하던 S10+에서 교체했습니다. 퀀텀5(A55)와 고민하던 중에 1만원 이하 알뜰요금제로 계속 사용할 예정이라 자급제폰인 S24FE로 선택했습니다. 기존 S10+와 비교하니 많이 크고 약간 무거운 것 같았습니다. 야구장에서 가끔 원거리 사진 찍는데 S10+에서는 10배 확대까지 가능했던  카메라가 최대 30배까지 확대가 가능해서 좋은 것 같습니다.  내년에는 원거리 촬영도 기분좋게 할 수 있을 것 같습니다. 가격은 작년보다 많이 올랐지만, 쓱데이 행사로 쿠폰할인에 카드사 할인까지해서 싸게 잘 구매한 것 같습니다. "
4,100점,G마켓,2025.01.16.,"
예쁘고 편리해요.
","갤럭시 노트9 사용하다가 이번 빅스마일 행사 때 휴대폰을 바꿨습니다. s 플러스 사려다가 fe로 했는데 플러스 쓰는 가족 거와 화면 사이즈도 비슷하게 크고 속도도 빨라서 머무 좋아요.  이직 보호 필름을 안붙였는데, 붙이고 사용하면 더 오래 쓰겠지요? 실버색인데 깔끔하고 무난해서 좋아요!"
5,80점,G마켓,2025.01.20.,"
가격빼고 만족
",갤럭시 S시리즈 무선충전이 되는 모델로 알아보다 항상 시리즈 마지막에 나오는 FE버젼이 그나마 가격대비 쓸만하다는 생각에 매번 FE버젼을 구매중입니다.자급재로만 사용하기때문에...기타 복잡한 통신사등 약정 관련하여 번거로움은 없지만..그래도 여전히 비싸다는 느낌입니다.스마트폰 가격이 전모델이 100만원 아래로 형성되었으면 하는 개인적 바램.
6,100점,롯데하이마트,2024.11.29.,"
기존 A시리즈 쓰다가 노란색이 마
","기존 A시리즈 쓰다가 노란색이 마음에 들어서 s24fe로 갈아탔습니다. 팬에디션이라지만 A시리즈에 비하니 아주 훌륭하구요, 삼성서비스센터에서 보호필름 붙였는데 화면도 편안하니 좋아요. 자급제 유심기변도 편리하고 스마트스위치로 기존폰 정보도 다 옮길수 있어서 자급제폰 계속 쓰게되네요."
7,100점,신세계몰,2024.11.13.,"
일요일 저녁 늦게 주문하고 화요일 오전에 잘 받았습니다
",일요일 저녁 늦게 주문하고 화요일 오전에 잘 받았습니다. 배송 및 포장상태 굿 이구요. 친환경 포장이라 박스가 단촐했지만 에어튜브로 꼼꼼하게 포장해서 잘 왔네요. 사은품 도 잘 챙겨 주시고 문의드릴 일이 있어 통화했는데 친절하게 안내해 주셨네요. 지인들에게 삼성 파트너사로 추전하겠습니다. 사업 번창하시길 바랍니다.
8,100점,롯데하이마트,2024.12.21.,"
S24  자급제폰 구입은 하이마트가
",S24  자급제폰 구입은 하이마트가 가장 저렴하고 믿을 수 있었습니다전에 쓰던 제품이 4년 넘으니 성능이 느려져서 구입했는데 확실이 좋네요기능이랑 여러가지 성능은 잘모르지만 잘 사용해보겠습니다
9,100점,11번가,2024.11.19.,"
최고예요
",예전 쓰던 휴대폰이 너무 오래돼서 자꾸 에러가 발생해서 신형폰으로 바꿔서 개통했습니다. 역시 신형폰이라 응답속도도 빠르고 좋아요~ 적극 추천합니다. 다만 전에 쓰던 폰보다 좀 커서 약간 어색하긴 합니다. 다소 무겁다는 느낌도 들고요~ 나머진 모두 좋아요~~가까운 대리점에 가서 유심칩도 신규로 구입해서 개통 완료했습니다.  아주 좋아요~~
