,scoring,market,purchasing_date,review_title,review_content
0,100점,11번가,2024.10.21.,"
최고예요
","일요일에 시켰는데 월요일 아침에 도착했습니다대면 배송이라 안전하게 받았어요틸 색상 갖고 싶어서 구매했어요씨 투 씨 타입은 처음이라 카플레이선부터 어댑터까지 새로 구매해야 합니다용량 늘어난 것에 만족하고, 모션이 더 부드러워진 것 같아 좋아요.아직은 어색하지만 곧 익숙해지겠죠케이스 주문했는데 아직 안와서 금이야 옥이야 모시며 살고 있는데 잘 버텨줬음 좋겠네요보태보태병 끝에 16일반으로 샀는데프로는 냉장고 값이라 ;; 이정도 선에서 잘 마무리했다고 봅니다.색깔 잘 뽑긴했는데 옛날 부엌? 화장실타일? 색깔과 같아서 익숙한듯 정감가네요 ㅎㅎ 원래 이런 색 좋아해서 만족합니다배터리 성능 100 정말 오랜만에 봐요. 10년 쓰고 또 바꿀게요~ 번창하시길.."
1,80점,롯데하이마트,2024.09.26.,"
새로나온 폰을 처음으로 사용하는
",새로나온 폰을 처음으로 사용하는데 열심히 기능을 익혀서 잘 사용하려구요~~ 구형에 비해 사진도 너무 마음에 들고 가볍고 화이트 색상 완전 깔끔해서 더 마음에 들어요~~~ 배송도 정해진 시간보다 더 빨리 도착해서 기분 좋네요~~^^ 이렇게 자급제를 사서 사용한건 처음인데 200프로 만족입니다~^^ 하이마트 혜택도 좋고  2차 사전예약에서 제가 구입한 기종이 다 품절되었지만 끊임없이 앱에 들어와서 취소분 발견하고 바로 구입해서 더 뿌듯하네요~~!!
2,100점,롯데하이마트,2024.10.03.,"
아이폰x 를 오래사용하다  변경했
","아이폰x 를 오래사용하다  변경했기 때문에, 성능 차이는 당연히 좋게 느낄 수 밖에 없는데… 예전 폰이 익숙해서인지 그립감은 아이폰16이 불편한 느낌이 있습니다. 폭이 조금 더 커서 그런거 같아요. 질리지 않을 것 같은 보라빛 섞인 쨍한 파란 색이라서 당분간은 투명케이스를 쓰고 다닐생각입니다."
3,20점,11번가,2024.10.16.,"
최악이에요
",아이폰만 사용했는데 제일 실망입니다. 화면 밝기랑 색상 문제 애플측도 인지하던데 초기화까지 여러번하고 교체 안됨. 배터리도 오래 안가고 카메라 크다는 리뷰 많더니 실물보면 커서 13이 훨씬 예뻐요. 배터리랑 용량때문에 급하게 구입했는데 스트레스만 받음. 며칠 지났는데 포인트 지급도 더 많이 하고 있어서 양품도 아닌데 혜택까지 손해봤네요.
4,80점,11번가,2024.11.23.,"
좋아요
",시키고 나서 그 다음 날 배송이 되서 빨리 왔구요. 성능이야 애플이니깐 거의 기성품이고 포장은 비닐에어팩에 담겨서 왔습니다. 생각보단 박스가 조금 크네요. 가격은 거의 할인이 안 되서 그렇지만 애플 자급제가 거의 그러하긴 하니깐요.
5,100점,롯데하이마트,2024.09.26.,"
아이폰11쓰다가 5년만에 새 핸드폰
",아이폰11쓰다가 5년만에 새 핸드폰으로 바꿨는데 오랜만에 바꿔서 그런가 너무 맘에 들어요!! 카메라가 특히 향상됐다고해서 기대중입니다ㅎㅎ디자인도 깔끔하고 색상도 예뻐서 잘쓸것같아요~ 배송 빠르고 좋아요 적혀져 있는 배송날짜보다 빨리 도착했습니다
6,100점,롯데하이마트,2024.09.27.,"
아이폰 13 미니 사용자의 구입기
","아이폰 13 미니 사용자의 구입기장점1. 빠르다AP가 크게 달라져서, 일반 어플뿐만 아니라, 특히 주식 어플을 사용할때 렉이나 버벅임이 전혀 없다.13미니일때는 토스증권은 발열이 엄청 심하고, 가끔 튕기기도 하고, 어플 자체가 프리징되기도 했는데, 스무스하게 사용된다.2. 화면이 크다눈이 편해져서 글씨가 시원시원하게 보인다. 13미니가 가독성이 안 좋았던건 아니지만 역시 디스플레이는 거거익선이다.3. 발열이 ...."
7,100점,롯데하이마트,2024.09.20.,"
아이폰 14프로 128기가 퍼플 쓰다가
","아이폰 14프로 128기가 퍼플 쓰다가 배터리 성능 및 용량이 아쉬워서 넘어왔어요11, 14 모두 프로 써봤어도 모든 기능을 쓰는것 같지 않아서 이번엔 일반으로 넘어왔답니다퍼플 쓰다가 화이트로 넘어오니 넘 영롱해요정말 맘에 들어요"
8,100점,SSG.COM,2024.09.23.,"
너무 좋아요 :) 정말 핑꾸핑꾸하고 다만 14프로 쓰다
","너무 좋아요 :) 정말 핑꾸핑꾸하고 다만 14프로 쓰다가 일반으로 넘어오면 사양이 떨어지는게 느껴진다던데 반은 맞고 반은 틀려요 ! 
맞는건 진짜 밝기가 사알짝 어두워요 ! 14프로는 눈이 부시게 밝은데, 이건 전혀 눈이 안아파서 알아보니 피트가 반밖에 안되더라구오 
틀린건 정말 ㅋㅋㅋㅋ 프로 기능을 1개도 안썼어서 가볍고 너무 좋네요 하하하 저같은 사람 추천이요 ! "
9,100점,신세계몰,2024.09.23.,"
너무 좋아요 :) 정말 핑꾸핑꾸하고 다만 14프로 쓰다
","너무 좋아요 :) 정말 핑꾸핑꾸하고 다만 14프로 쓰다가 일반으로 넘어오면 사양이 떨어지는게 느껴진다던데 반은 맞고 반은 틀려요 ! 
맞는건 진짜 밝기가 사알짝 어두워요 ! 14프로는 눈이 부시게 밝은데, 이건 전혀 눈이 안아파서 알아보니 피트가 반밖에 안되더라구오 
틀린건 정말 ㅋㅋㅋㅋ 프로 기능을 1개도 안썼어서 가볍고 너무 좋네요 하하하 저같은 사람 추천이요 ! "
