,scoring,market,purchasing_date,review_title,review_content
0,100점,11번가,2024.10.08.,"
최고예요
",13프로에서 넘어왔는데 화면 크기가 엄청 차이나네요~ 성능 차이는 아직 모르겠지만요! 사진은 13입니다!
1,100점,11번가,2024.10.30.,"
최고예요
",아이폰 16 프로 맥스 자급제 화면 커서 좋아요
2,100점,11번가,2024.10.17.,"
최고예요
",역시 아이폰은 아이폰입니다. 전작보다 무겁지만 화면이 넓습니다.
3,100점,롯데하이마트,2025.01.20.,"
매장에서 충분히 본 뒤에자급제
",매장에서 충분히 본 뒤에자급제 주문하였어요추운날 택배가 미리도착허여 밖에 있게 될까봐 걱정한것 외에는 만족합니다!
4,100점,11번가,2024.10.28.,"
최고예요
",일할때 아이폰이 더 유용하다고 해서 샀는디 댑따 비싸요 ㅠㅠ잘써볼께요
5,100점,롯데하이마트,2024.09.21.,"
아이폰11에서 넘어와서 만족합니
",아이폰11에서 넘어와서 만족합니다
6,100점,롯데하이마트,2024.10.17.,"
생애 처음으로 아이폰 구입했는데
",생애 처음으로 아이폰 구입했는데 양품이 온 것 같아 마음에 듭니다
7,100점,11번가,2024.11.08.,"
최고예요
",사전예약 처음애 놓쳐서 계속 사려고 오픈기다리다가 샀어요 예약기한보다 좀더 빨리 와서 좋았어요
8,100점,롯데하이마트,2024.09.30.,"
무겁고 불편한 맥스
",무겁고 불편한 맥스
9,100점,11번가,2024.10.31.,"
최고예요
",12프로맥스 쓰다가 바꿨는데 신세계네요
0,100점,11번가,2024.10.08.,"
최고예요
",13프로에서 넘어왔는데 화면 크기가 엄청 차이나네요~ 성능 차이는 아직 모르겠지만요! 사진은 13입니다!
1,100점,11번가,2024.10.30.,"
최고예요
",아이폰 16 프로 맥스 자급제 화면 커서 좋아요
2,100점,11번가,2024.10.17.,"
최고예요
",역시 아이폰은 아이폰입니다. 전작보다 무겁지만 화면이 넓습니다.
3,100점,롯데하이마트,2025.01.20.,"
매장에서 충분히 본 뒤에자급제
",매장에서 충분히 본 뒤에자급제 주문하였어요추운날 택배가 미리도착허여 밖에 있게 될까봐 걱정한것 외에는 만족합니다!
4,100점,11번가,2024.10.28.,"
최고예요
",일할때 아이폰이 더 유용하다고 해서 샀는디 댑따 비싸요 ㅠㅠ잘써볼께요
5,100점,롯데하이마트,2024.09.21.,"
아이폰11에서 넘어와서 만족합니
",아이폰11에서 넘어와서 만족합니다
6,100점,롯데하이마트,2024.10.17.,"
생애 처음으로 아이폰 구입했는데
",생애 처음으로 아이폰 구입했는데 양품이 온 것 같아 마음에 듭니다
7,100점,11번가,2024.11.08.,"
최고예요
",사전예약 처음애 놓쳐서 계속 사려고 오픈기다리다가 샀어요 예약기한보다 좀더 빨리 와서 좋았어요
8,100점,롯데하이마트,2024.09.30.,"
무겁고 불편한 맥스
",무겁고 불편한 맥스
9,100점,11번가,2024.10.31.,"
최고예요
",12프로맥스 쓰다가 바꿨는데 신세계네요
0,100점,SSG.COM,2024.11.12.,"
달 받았습니다.감사합니다
",달 받았습니다.감사합니다
1,100점,신세계몰,2024.11.12.,"
달 받았습니다.감사합니다
",달 받았습니다.감사합니다
2,80점,11번가,2024.11.09.,"
좋아요
",빠른배송감사합니다.
3,100점,11번가,2024.09.20.,"
최고예요
",1차 예판 처음 성공했는데 진짜 빠름
0,100점,SSG.COM,2024.11.12.,"
달 받았습니다.감사합니다
",달 받았습니다.감사합니다
1,100점,신세계몰,2024.11.12.,"
달 받았습니다.감사합니다
",달 받았습니다.감사합니다
2,80점,11번가,2024.11.09.,"
좋아요
",빠른배송감사합니다.
3,100점,11번가,2024.09.20.,"
최고예요
",1차 예판 처음 성공했는데 진짜 빠름
0,100점,SSG.COM,2024.11.12.,"
달 받았습니다.감사합니다
",달 받았습니다.감사합니다
1,100점,신세계몰,2024.11.12.,"
달 받았습니다.감사합니다
",달 받았습니다.감사합니다
2,80점,11번가,2024.11.09.,"
좋아요
",빠른배송감사합니다.
3,100점,11번가,2024.09.20.,"
최고예요
",1차 예판 처음 성공했는데 진짜 빠름
