scoring,market,purchasing_date,review_title,review_content,item
100점,11번가,2024.10.13.,"
최고예요
",13프로 사용하다가 갑자기 화이트스크린떠서 급하게 주문했네요8일날 오후 주문해서 12일 토요일에 받았어요 폰없이 불편하게 지냈는데 9일 한글날 휴일 아니었으면 더 빨리 받을 뻔 했네요 ^^ㅋㅋㅋㅋ고장이 나도 하필이면 출시하고 한달있다가 고장이 나다니~~~~데저트 티타늄이라 골드 컬러는 처음 사용해봐요 다행히 외관은 크게 스크레치 등은 없는 것 같고하루 사용해보니 확실히 전보다 빠릿빠릿 하긴 하네요 외관 확인하고 폰닥터 돌려보고 바로 강화유리 붙이고 케이스 꼈어요~~~ 폰바꾸는거 넘 귀찮어요 이번에는 한 5년 쓰길~~~ㅋ아참 애케플도 계산했네요카드 포인트 있어서 같이 계산했어요 그래도 11번가가 49000포인트 적립해주니 좋네요 그나마…ㅋㅋ자급제 사용하는게 속편해요,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.13.,"
최고예요
",1일 주문 12일 도착!예정 배송일 보다 훨씬 일찍 도착했네요아~ 영롱한 데저트 티타늄!!문제는 케이스랑 카메라 렌즈 글라스등등주문한게 아직 도착 안해서 사용을 못하네요ㅋㅋㅋ일찍 도착해도 이게 문제군요여튼 15프로에 없었던 색상16프로에 나와서 너무 마음에 드네요새로운 기능 및 키가 늘어서좀만져봐야 익숙해질듯~카메라 성능 캬~ 역시 아이폰!!,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,11번가,2024.11.01.,"
최고예요
","오랫동안 사용한 아이폰14프로에서 16프로로 교체하였습니다. 역시나 애플 아이폰은 스마트폰의 끝판왕입니다. 카메라. 프로세서, 디자인 모두 만족시켜주는 스마트폰은 아이폰 뿐입니다. 배송도 하루 만에 받았으며, 파손 방지 위해 질소충전재로 잘 포장되어 배송됩니다. 아이폰은 굳이 설명하지 않아도 그 감성과 성능 잘 아니까 부가설명하지 않겠습니다.","APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
20점,11번가,2024.12.07.,"
최악이에요
","개통하고 몇시간이 지나고 밧데리에서 발열이 시작되었고, 계속 충전해도 밧데리가 급속도로 방전되었습니다. 또한 아이폰이 꺼지지도 않아서 밤새 아이폰 밧데리가 터질까봐 불안했습니다. 그 다음날 아이폰 공식AS 센터에 방문하였는데 예약을 하지 않고 가서 AS 받는데 4시간이상이 걸렸습니다. 지금은 정상작동이 되는데 한달안에 똑같은 증상이 발생하면 새제품으로 교환해 준다고 합니다. 아무리 렌덤이라고 하지만 165만원을 주고 산 새 제품이 교환도 안되고, 만약에 한달 후에 이상이 발생되면 계속해서 시간을 허비하면서 AS센터에서 보내야 할까봐 걱정이 되네요. 판매자의 책임이 없다고 하더라도 리뷰를 좋게 줄 수는 없네요!","APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
20점,11번가,2024.09.28.,"
최악이에요
","마이그레이션 후 기존 아이폰에서 유심을 옮겨서 껐다 켰다 수백번, 비행기모드 수백번. 유튜브나 네이버 서치를 3시간동안 해서 할 수 있는 방법을 총 동원했음에도 유심 인식(좌상단 ”SIM없음“ 표시는 안뜸)은 되는데 통신사 서비스가 안됩니다(좌상단 ”서비스없음“ 표시 뜸). 유심은 여러 다른 폰에 껴본 결과 정상이고, 메인보드 불량이 확신이 되어 교환 요청 문의 남겼는데 교환해줄지 모르겠네요.. 170만원짜리를 구매하고 각종 불량 테스트를 구매자가 해야한다는 현실이 너무 스트레스네요.","APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,11번가,2024.09.23.,"
최고예요
",아이폰 16프로 정말 만족스럽습니다.생각보다 가벼운 무게와 빠른 속도 그리고 화면이 확실히 이전세대보다 더 선명하고 밝은 느낌이 납니다. 여러모로 타 사이트에 비해 5만원 포인트와 보상판매까지 만족스러운 11번가라고 생각합니다.  강력 추천!!!,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,롯데하이마트,2024.09.21.,"
아이폰 14프로 쓰다가 넘어왔어요.
","아이폰 14프로 쓰다가 넘어왔어요. 가볍고 성능이 좋고 디자인도 더 예뻐졌어요. 확실히 터치가 부드럽습니다.ㅋㅍ에서 구입 했다가 하이마트가 더 조건이 좋아서 취소하고 넘어 왔어요. 2차 구입했는데, 1차 만큼 빠르게 배송받아 정말 만족스럽습니다. 추천 드려요.","APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,롯데하이마트,2024.10.27.,"
사전예약해서 구매햇어요사전구
",사전예약해서 구매햇어요사전구매 햇는데 이틀ㅈㅣ나 폰 배송~~넘나조은걸요^^이상없는것 같아 통신사 바롱등록햇어요사실 화이트구매하고 싶엇는데너무 안떠서 데져트 삿거든요?근데 완죤♡신의한수플립4쓰고잇던 저는 넝 맘에들던데요?메인 사진 데져뜨 보다 훨씬 조아요...주변에선 별로다 이랫지만전 조았어요우선 C타입이여서갤럭시와 투폰 쓰는것도 조쿠통신사서 어플이긴하지만 녹음되는것도 좋구요~주변에 아이폰....,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,롯데하이마트,2024.09.22.,"
매번 아이폰 구입할때마다 케이스
",매번 아이폰 구입할때마다 케이스를 씌우고 사용하기에 그냥 블랙 티타늄으로 구입했네요.먼저 사용하는 14 프로보다 베젤이 얇아서 넓어 보이고 IOS18 적용으로 꽤 다이나믹하게 아이폰을 사용할 수 있어 좋았습니다.카메라 버튼을 따로 제공해서 좋기는 한데 케이스를 씌우니 그립감에 방해가되는 부분이 있어서 적응하기 힘드네요.천천히 적응해봐야 겠습니다.,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,롯데하이마트,2025.01.21.,"
아이폰 타령에 중고폰 사주려  하
",아이폰 타령에 중고폰 사주려  하다새폰으로  구매 했어요배송도 빠르고 포장도 충격에 걱정없이 왔어요네츄럴티타늄 색 예쁘다내요카메라 새로운 기능도 좋타고 하고 ㅡ측면 카메라버튼  줌기능아이가 너무 좋아해서 좋내요,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.13.,"
최고예요
",13프로 사용하다가 갑자기 화이트스크린떠서 급하게 주문했네요8일날 오후 주문해서 12일 토요일에 받았어요 폰없이 불편하게 지냈는데 9일 한글날 휴일 아니었으면 더 빨리 받을 뻔 했네요 ^^ㅋㅋㅋㅋ고장이 나도 하필이면 출시하고 한달있다가 고장이 나다니~~~~데저트 티타늄이라 골드 컬러는 처음 사용해봐요 다행히 외관은 크게 스크레치 등은 없는 것 같고하루 사용해보니 확실히 전보다 빠릿빠릿 하긴 하네요 외관 확인하고 폰닥터 돌려보고 바로 강화유리 붙이고 케이스 꼈어요~~~ 폰바꾸는거 넘 귀찮어요 이번에는 한 5년 쓰길~~~ㅋ아참 애케플도 계산했네요카드 포인트 있어서 같이 계산했어요 그래도 11번가가 49000포인트 적립해주니 좋네요 그나마…ㅋㅋ자급제 사용하는게 속편해요,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,11번가,2024.10.13.,"
최고예요
",1일 주문 12일 도착!예정 배송일 보다 훨씬 일찍 도착했네요아~ 영롱한 데저트 티타늄!!문제는 케이스랑 카메라 렌즈 글라스등등주문한게 아직 도착 안해서 사용을 못하네요ㅋㅋㅋ일찍 도착해도 이게 문제군요여튼 15프로에 없었던 색상16프로에 나와서 너무 마음에 드네요새로운 기능 및 키가 늘어서좀만져봐야 익숙해질듯~카메라 성능 캬~ 역시 아이폰!!,"APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
100점,11번가,2024.11.01.,"
최고예요
","오랫동안 사용한 아이폰14프로에서 16프로로 교체하였습니다. 역시나 애플 아이폰은 스마트폰의 끝판왕입니다. 카메라. 프로세서, 디자인 모두 만족시켜주는 스마트폰은 아이폰 뿐입니다. 배송도 하루 만에 받았으며, 파손 방지 위해 질소충전재로 잘 포장되어 배송됩니다. 아이폰은 굳이 설명하지 않아도 그 감성과 성능 잘 아니까 부가설명하지 않겠습니다.","APPLE 아이폰16 프로 256GB, 자급제 (자급제 공기계)"
